"Datum","PM10","Ca","Cl","K","Mg","Na","NH4","NO3","kraj"
"1/2/2015",100,0.315,1.1,2.54,0.0993,0.28,4.91,13.1,"Celje"
"1/3/2015",61,0.087,0.715,1.44,0.0238,0.197,2.32,5.72,"Celje"
"1/4/2015",8.1,0.0239,0.161,0.169,0.017,0.148,0.241,0.341,"Celje"
"1/5/2015",23,0.205,0.655,0.537,0.0498,0.444,0.338,1.18,"Celje"
"1/6/2015",43,0.414,0.525,0.842,0.132,0.264,1.15,4.25,"Celje"
"1/7/2015",51,0.217,0.412,0.879,0.0422,0.122,2.11,5.88,"Celje"
"1/8/2015",65,0.415,0.98,1.32,0.0917,0.325,2.76,7.84,"Celje"
"1/9/2015",43,0.204,0.581,0.782,0.0547,0.285,1.99,5.66,"Celje"
"1/10/2015",62,0.153,0.589,1.16,0.0384,0.187,4.15,11.7,"Celje"
"1/11/2015",29,0.0657,0.305,0.626,0.0254,0.144,1.53,3.65,"Celje"
"1/12/2015",32,0.163,0.398,0.686,0.0307,0.138,1.79,5.12,"Celje"
"1/13/2015",24,0.251,0.764,0.414,0.104,0.776,0.803,3.45,"Celje"
"1/15/2015",41,0.305,0.824,0.864,0.0712,0.282,1.89,5.3,"Celje"
"1/16/2015",42,0.238,1.07,0.795,0.0921,0.714,2.07,6.45,"Celje"
