state,county,candidate,party,votes
Maine,North Yarmouth,Donald Trump,REP,1018
Maine,North Yarmouth,Jo Jorgensen,LIB,47
Maine,North Yarmouth,Howie Hawkins,GRN,29
Maine,North Yarmouth,Rocky De La Fuente,ALI,4
Maine,North Yarmouth, Write-ins,WRI,0
Maine,Portland,Joe Biden,DEM,33784
Maine,Portland,Donald Trump,REP,6483
Maine,Portland,Howie Hawkins,GRN,690
Maine,Portland,Jo Jorgensen,LIB,519
Maine,Portland,Rocky De La Fuente,ALI,56
Maine,Portland, Write-ins,WRI,0
Maine,Pownal,Joe Biden,DEM,685
Maine,Pownal,Donald Trump,REP,489
Maine,Pownal,Howie Hawkins,GRN,16
Maine,Pownal,Jo Jorgensen,LIB,14
Maine,Pownal,Rocky De La Fuente,ALI,2
Maine,Pownal, Write-ins,WRI,0
Maine,Raymond,Joe Biden,DEM,1589
Maine,Raymond,Donald Trump,REP,1472
Maine,Raymond,Jo Jorgensen,LIB,59
Maine,Raymond,Howie Hawkins,GRN,21
Maine,Raymond,Rocky De La Fuente,ALI,1
Maine,Raymond, Write-ins,WRI,0
Maine,Scarborough,Joe Biden,DEM,9487
Maine,Scarborough,Donald Trump,REP,5217
Maine,Scarborough,Jo Jorgensen,LIB,214
Maine,Scarborough,Howie Hawkins,GRN,108
Maine,Scarborough,Rocky De La Fuente,ALI,31
Maine,Scarborough, Write-ins,WRI,0
Maine,Sebago,Donald Trump,REP,719
Maine,Sebago,Joe Biden,DEM,529
Maine,Sebago,Jo Jorgensen,LIB,18
Maine,Sebago,Howie Hawkins,GRN,11
Maine,Sebago,Rocky De La Fuente,ALI,0
Maine,Sebago, Write-ins,WRI,0
Maine,South Portland,Joe Biden,DEM,12075
Maine,South Portland,Donald Trump,REP,3781
Maine,South Portland,Jo Jorgensen,LIB,222
Maine,South Portland,Howie Hawkins,GRN,188
Maine,South Portland, Write-ins,WRI,81
Maine,South Portland,Rocky De La Fuente,ALI,17
Maine,Standish,Donald Trump,REP,3076
Maine,Standish,Joe Biden,DEM,2818
Maine,Standish,Howie Hawkins,GRN,119
Maine,Standish,Jo Jorgensen,LIB,107
Maine,Standish,Rocky De La Fuente,ALI,52
Maine,Standish, Write-ins,WRI,30
Maine,Westbrook,Joe Biden,DEM,7359
Maine,Westbrook,Donald Trump,REP,3579
Maine,Westbrook,Jo Jorgensen,LIB,181
Maine,Westbrook,Howie Hawkins,GRN,122
Maine,Westbrook, Write-ins,WRI,61
Maine,Westbrook,Rocky De La Fuente,ALI,16
Maine,Windham,Joe Biden,DEM,5780
Maine,Windham,Donald Trump,REP,5276
Maine,Windham,Jo Jorgensen,LIB,229
Maine,Windham,Howie Hawkins,GRN,129
Maine,Windham,Rocky De La Fuente,ALI,22
Maine,Windham, Write-ins,WRI,0
Maine,Yarmouth,Joe Biden,DEM,4785
Maine,Yarmouth,Donald Trump,REP,1439
Maine,Yarmouth,Jo Jorgensen,LIB,79
Maine,Yarmouth,Howie Hawkins,GRN,43
Maine,Yarmouth,Rocky De La Fuente,ALI,12
Maine,Yarmouth, Write-ins,WRI,0
Maine,Avon,Joe Biden,DEM,0
Maine,Avon,Donald Trump,REP,0
Maine,Avon,Rocky De La Fuente,ALI,0
Maine,Avon,Howie Hawkins,GRN,0
Maine,Avon,Jo Jorgensen,LIB,0
Maine,Avon, Write-ins,WRI,0
Maine,Carrabassett Valley,Joe Biden,DEM,348
Maine,Carrabassett Valley,Donald Trump,REP,164
Maine,Carrabassett Valley,Jo Jorgensen,LIB,10
Maine,Carrabassett Valley,Howie Hawkins,GRN,5
Maine,Carrabassett Valley,Rocky De La Fuente,ALI,0
Maine,Carrabassett Valley, Write-ins,WRI,0
Maine,Carthage,Joe Biden,DEM,0
Maine,Carthage,Donald Trump,REP,0
Maine,Carthage,Rocky De La Fuente,ALI,0
Maine,Carthage,Howie Hawkins,GRN,0
Maine,Carthage,Jo Jorgensen,LIB,0
Maine,Carthage, Write-ins,WRI,0
Maine,Chesterville,Joe Biden,DEM,0
Maine,Chesterville,Donald Trump,REP,0
Maine,Chesterville,Rocky De La Fuente,ALI,0
Maine,Chesterville,Howie Hawkins,GRN,0
Maine,Chesterville,Jo Jorgensen,LIB,0
Maine,Chesterville, Write-ins,WRI,0
Maine,Coplin Plt.,Joe Biden,DEM,0
Maine,Coplin Plt.,Donald Trump,REP,0
Maine,Coplin Plt.,Rocky De La Fuente,ALI,0
Maine,Coplin Plt.,Howie Hawkins,GRN,0
Maine,Coplin Plt.,Jo Jorgensen,LIB,0
Maine,Coplin Plt., Write-ins,WRI,0
Maine,Dallas Plt.,Joe Biden,DEM,0
Maine,Dallas Plt.,Donald Trump,REP,0
Maine,Dallas Plt.,Rocky De La Fuente,ALI,0
Maine,Dallas Plt.,Howie Hawkins,GRN,0
Maine,Dallas Plt.,Jo Jorgensen,LIB,0
Maine,Dallas Plt., Write-ins,WRI,0
Maine,Eustis,Donald Trump,REP,253
Maine,Eustis,Joe Biden,DEM,173
Maine,Eustis,Jo Jorgensen,LIB,12
Maine,Eustis,Howie Hawkins,GRN,7
Maine,Eustis,Rocky De La Fuente,ALI,0
Maine,Eustis, Write-ins,WRI,0
Maine,Farmington,Joe Biden,DEM,2225
Maine,Farmington,Donald Trump,REP,1541
Maine,Farmington,Jo Jorgensen,LIB,80
Maine,Farmington, Write-ins,WRI,60
Maine,Farmington,Howie Hawkins,GRN,51
Maine,Farmington,Rocky De La Fuente,ALI,9
Maine,Industry,Joe Biden,DEM,0
Maine,Industry,Donald Trump,REP,0
Maine,Industry,Rocky De La Fuente,ALI,0
Maine,Industry,Howie Hawkins,GRN,0
Maine,Industry,Jo Jorgensen,LIB,0
Maine,Industry, Write-ins,WRI,0
Maine,Jay,Donald Trump,REP,1375
Maine,Jay,Joe Biden,DEM,1220
Maine,Jay,Jo Jorgensen,LIB,44
Maine,Jay,Howie Hawkins,GRN,23
Maine,Jay, Write-ins,WRI,23
Maine,Jay,Rocky De La Fuente,ALI,3
Maine,Kingfield,Joe Biden,DEM,0
Maine,Kingfield,Donald Trump,REP,0
Maine,Kingfield,Rocky De La Fuente,ALI,0
Maine,Kingfield,Howie Hawkins,GRN,0
Maine,Kingfield,Jo Jorgensen,LIB,0
Maine,Kingfield, Write-ins,WRI,0
Maine,New Sharon,Donald Trump,REP,528
Maine,New Sharon,Joe Biden,DEM,391
Maine,New Sharon,Jo Jorgensen,LIB,23
Maine,New Sharon,Howie Hawkins,GRN,12
Maine,New Sharon,Rocky De La Fuente,ALI,2
Maine,New Sharon, Write-ins,WRI,0
Maine,New Vineyard,Donald Trump,REP,293
Maine,New Vineyard,Joe Biden,DEM,154
Maine,New Vineyard,Jo Jorgensen,LIB,10
Maine,New Vineyard,Howie Hawkins,GRN,4
Maine,New Vineyard,Rocky De La Fuente,ALI,2
Maine,New Vineyard, Write-ins,WRI,0
Maine,Phillips,Joe Biden,DEM,0
Maine,Phillips,Donald Trump,REP,0
Maine,Phillips,Rocky De La Fuente,ALI,0
Maine,Phillips,Howie Hawkins,GRN,0
Maine,Phillips,Jo Jorgensen,LIB,0
Maine,Phillips, Write-ins,WRI,0
Maine,Rangeley,Donald Trump,REP,449
Maine,Rangeley,Joe Biden,DEM,294
Maine,Rangeley,Howie Hawkins,GRN,7
Maine,Rangeley,Jo Jorgensen,LIB,7
Maine,Rangeley, Write-ins,WRI,3
Maine,Rangeley,Rocky De La Fuente,ALI,1
Maine,Rangeley Plt.,Donald Trump,REP,86
Maine,Rangeley Plt.,Joe Biden,DEM,57
Maine,Rangeley Plt.,Rocky De La Fuente,ALI,1
Maine,Rangeley Plt.,Jo Jorgensen,LIB,1
Maine,Rangeley Plt.,Howie Hawkins,GRN,0
Maine,Rangeley Plt., Write-ins,WRI,0
Maine,Sandy River Plt.,Joe Biden,DEM,0
Maine,Sandy River Plt.,Donald Trump,REP,0
Maine,Sandy River Plt.,Rocky De La Fuente,ALI,0
Maine,Sandy River Plt.,Howie Hawkins,GRN,0
Maine,Sandy River Plt.,Jo Jorgensen,LIB,0
Maine,Sandy River Plt., Write-ins,WRI,0
Maine,Strong,Donald Trump,REP,526
Maine,Strong,Joe Biden,DEM,266
Maine,Strong,Jo Jorgensen,LIB,14
Maine,Strong,Howie Hawkins,GRN,8
Maine,Strong,Rocky De La Fuente,ALI,2
Maine,Strong, Write-ins,WRI,0
Maine,Temple,Joe Biden,DEM,0
Maine,Temple,Donald Trump,REP,0
Maine,Temple,Rocky De La Fuente,ALI,0
Maine,Temple,Howie Hawkins,GRN,0
Maine,Temple,Jo Jorgensen,LIB,0
Maine,Temple, Write-ins,WRI,0
Maine,Weld,Joe Biden,DEM,149
Maine,Weld,Donald Trump,REP,144
Maine,Weld,Howie Hawkins,GRN,4
Maine,Weld,Rocky De La Fuente,ALI,1
Maine,Weld,Jo Jorgensen,LIB,1
Maine,Weld, Write-ins,WRI,0
Maine,Wilton,Donald Trump,REP,1113
Maine,Wilton,Joe Biden,DEM,973
Maine,Wilton,Jo Jorgensen,LIB,62
Maine,Wilton,Howie Hawkins,GRN,18
Maine,Wilton, Write-ins,WRI,9
Maine,Wilton,Rocky De La Fuente,ALI,2
Maine,Amherst,Joe Biden,DEM,0
Maine,Amherst,Donald Trump,REP,0
Maine,Amherst,Rocky De La Fuente,ALI,0
Maine,Amherst,Howie Hawkins,GRN,0
Maine,Amherst,Jo Jorgensen,LIB,0
Maine,Amherst, Write-ins,WRI,0
Maine,Aurora,Joe Biden,DEM,0
Maine,Aurora,Donald Trump,REP,0
Maine,Aurora,Rocky De La Fuente,ALI,0
Maine,Aurora,Howie Hawkins,GRN,0
Maine,Aurora,Jo Jorgensen,LIB,0
Maine,Aurora, Write-ins,WRI,0
Maine,Bar Harbor,Joe Biden,DEM,2678
Maine,Bar Harbor,Donald Trump,REP,804
Maine,Bar Harbor,Howie Hawkins,GRN,45
Maine,Bar Harbor,Jo Jorgensen,LIB,44
Maine,Bar Harbor,Rocky De La Fuente,ALI,5
Maine,Bar Harbor, Write-ins,WRI,0
Maine,Blue Hill,Joe Biden,DEM,1310
Maine,Blue Hill,Donald Trump,REP,624
Maine,Blue Hill,Howie Hawkins,GRN,25
Maine,Blue Hill,Jo Jorgensen,LIB,15
Maine,Blue Hill,Rocky De La Fuente,ALI,3
Maine,Blue Hill, Write-ins,WRI,0
Maine,Brooklin,Joe Biden,DEM,426
Maine,Brooklin,Donald Trump,REP,189
Maine,Brooklin,Jo Jorgensen,LIB,5
Maine,Brooklin,Howie Hawkins,GRN,4
Maine,Brooklin,Rocky De La Fuente,ALI,0
Maine,Brooklin, Write-ins,WRI,0
Maine,Brooksville,Joe Biden,DEM,450
Maine,Brooksville,Donald Trump,REP,219
Maine,Brooksville,Howie Hawkins,GRN,12
Maine,Brooksville,Jo Jorgensen,LIB,4
Maine,Brooksville,Rocky De La Fuente,ALI,1
Maine,Brooksville, Write-ins,WRI,0
Maine,Bucksport,Donald Trump,REP,1481
Maine,Bucksport,Joe Biden,DEM,1278
Maine,Bucksport,Jo Jorgensen,LIB,68
Maine,Bucksport,Howie Hawkins,GRN,25
Maine,Bucksport,Rocky De La Fuente,ALI,3
Maine,Bucksport, Write-ins,WRI,0
Maine,Castine,Joe Biden,DEM,346
Maine,Castine,Donald Trump,REP,136
Maine,Castine,Jo Jorgensen,LIB,10
Maine,Castine,Howie Hawkins,GRN,6
Maine,Castine, Write-ins,WRI,2
Maine,Castine,Rocky De La Fuente,ALI,1
Maine,Cranberry Isles,Joe Biden,DEM,95
Maine,Cranberry Isles,Donald Trump,REP,36
Maine,Cranberry Isles,Howie Hawkins,GRN,4
Maine,Cranberry Isles,Jo Jorgensen,LIB,2
Maine,Cranberry Isles,Rocky De La Fuente,ALI,1
Maine,Cranberry Isles, Write-ins,WRI,0
Maine,Dedham,Donald Trump,REP,582
Maine,Dedham,Joe Biden,DEM,545
Maine,Dedham,Jo Jorgensen,LIB,27
Maine,Dedham,Howie Hawkins,GRN,11
Maine,Dedham,Rocky De La Fuente,ALI,1
Maine,Dedham, Write-ins,WRI,0
Maine,Deer Isle,Joe Biden,DEM,806
Maine,Deer Isle,Donald Trump,REP,496
Maine,Deer Isle,Jo Jorgensen,LIB,10
Maine,Deer Isle,Howie Hawkins,GRN,9
Maine,Deer Isle,Rocky De La Fuente,ALI,2
Maine,Deer Isle, Write-ins,WRI,0
Maine,Eastbrook,Joe Biden,DEM,0
Maine,Eastbrook,Donald Trump,REP,0
Maine,Eastbrook,Rocky De La Fuente,ALI,0
Maine,Eastbrook,Howie Hawkins,GRN,0
Maine,Eastbrook,Jo Jorgensen,LIB,0
Maine,Eastbrook, Write-ins,WRI,0
Maine,Ellsworth,Donald Trump,REP,2356
Maine,Ellsworth,Joe Biden,DEM,2273
Maine,Ellsworth,Jo Jorgensen,LIB,121
Maine,Ellsworth,Howie Hawkins,GRN,60
Maine,Ellsworth, Write-ins,WRI,27
Maine,Ellsworth,Rocky De La Fuente,ALI,10
Maine,Franklin,Donald Trump,REP,459
Maine,Franklin,Joe Biden,DEM,381
Maine,Franklin,Howie Hawkins,GRN,11
Maine,Franklin,Jo Jorgensen,LIB,8
Maine,Franklin,Rocky De La Fuente,ALI,1
Maine,Franklin, Write-ins,WRI,1
Maine,Frenchboro,Donald Trump,REP,19
Maine,Frenchboro,Joe Biden,DEM,12
Maine,Frenchboro,Rocky De La Fuente,ALI,0
Maine,Frenchboro,Howie Hawkins,GRN,0
Maine,Frenchboro,Jo Jorgensen,LIB,0
Maine,Frenchboro, Write-ins,WRI,0
Maine,Gouldsboro,Donald Trump,REP,612
Maine,Gouldsboro,Joe Biden,DEM,477
Maine,Gouldsboro,Jo Jorgensen,LIB,17
Maine,Gouldsboro,Howie Hawkins,GRN,9
Maine,Gouldsboro, Write-ins,WRI,5
Maine,Gouldsboro,Rocky De La Fuente,ALI,1
Maine,Great Pond,Donald Trump,REP,25
Maine,Great Pond,Joe Biden,DEM,18
Maine,Great Pond,Rocky De La Fuente,ALI,0
Maine,Great Pond,Howie Hawkins,GRN,0
Maine,Great Pond,Jo Jorgensen,LIB,0
Maine,Great Pond, Write-ins,WRI,0
Maine,Hancock,Donald Trump,REP,778
Maine,Hancock,Joe Biden,DEM,659
Maine,Hancock,Jo Jorgensen,LIB,23
Maine,Hancock, Write-ins,WRI,14
Maine,Hancock,Howie Hawkins,GRN,11
Maine,Hancock,Rocky De La Fuente,ALI,1
Maine,Lamoine,Joe Biden,DEM,616
Maine,Lamoine,Donald Trump,REP,576
Maine,Lamoine,Jo Jorgensen,LIB,9
Maine,Lamoine,Howie Hawkins,GRN,8
Maine,Lamoine,Rocky De La Fuente,ALI,2
Maine,Lamoine, Write-ins,WRI,0
Maine,Mariaville,Joe Biden,DEM,0
Maine,Mariaville,Donald Trump,REP,0
Maine,Mariaville,Rocky De La Fuente,ALI,0
Maine,Mariaville,Howie Hawkins,GRN,0
Maine,Mariaville,Jo Jorgensen,LIB,0
Maine,Mariaville, Write-ins,WRI,0
Maine,Mount Desert,Joe Biden,DEM,1066
Maine,Mount Desert,Donald Trump,REP,381
Maine,Mount Desert,Jo Jorgensen,LIB,24
Maine,Mount Desert,Howie Hawkins,GRN,17
Maine,Mount Desert,Rocky De La Fuente,ALI,0
Maine,Mount Desert, Write-ins,WRI,0
Maine,Orland,Donald Trump,REP,693
Maine,Orland,Joe Biden,DEM,691
Maine,Orland,Jo Jorgensen,LIB,24
Maine,Orland,Howie Hawkins,GRN,13
Maine,Orland,Rocky De La Fuente,ALI,3
Maine,Orland, Write-ins,WRI,0
Maine,Osborn,Joe Biden,DEM,0
Maine,Osborn,Donald Trump,REP,0
Maine,Osborn,Rocky De La Fuente,ALI,0
Maine,Osborn,Howie Hawkins,GRN,0
Maine,Osborn,Jo Jorgensen,LIB,0
Maine,Osborn, Write-ins,WRI,0
Maine,Otis,Donald Trump,REP,323
Maine,Otis,Joe Biden,DEM,153
Maine,Otis,Howie Hawkins,GRN,4
Maine,Otis,Jo Jorgensen,LIB,4
Maine,Otis,Rocky De La Fuente,ALI,0
Maine,Otis, Write-ins,WRI,0
Maine,Penobscot,Joe Biden,DEM,512
Maine,Penobscot,Donald Trump,REP,306
Maine,Penobscot,Howie Hawkins,GRN,14
Maine,Penobscot,Jo Jorgensen,LIB,12
Maine,Penobscot, Write-ins,WRI,6
Maine,Penobscot,Rocky De La Fuente,ALI,1
Maine,Sedgwick,Joe Biden,DEM,511
Maine,Sedgwick,Donald Trump,REP,321
Maine,Sedgwick,Howie Hawkins,GRN,6
Maine,Sedgwick,Jo Jorgensen,LIB,5
Maine,Sedgwick,Rocky De La Fuente,ALI,0
Maine,Sedgwick, Write-ins,WRI,0
Maine,Sorrento,Joe Biden,DEM,0
Maine,Sorrento,Donald Trump,REP,0
Maine,Sorrento,Rocky De La Fuente,ALI,0
Maine,Sorrento,Howie Hawkins,GRN,0
Maine,Sorrento,Jo Jorgensen,LIB,0
Maine,Sorrento, Write-ins,WRI,0
Maine,Southwest Harbor,Joe Biden,DEM,728
Maine,Southwest Harbor,Donald Trump,REP,381
Maine,Southwest Harbor,Jo Jorgensen,LIB,14
Maine,Southwest Harbor,Howie Hawkins,GRN,13
Maine,Southwest Harbor,Rocky De La Fuente,ALI,1
Maine,Southwest Harbor, Write-ins,WRI,0
Maine,Stonington,Joe Biden,DEM,409
Maine,Stonington,Donald Trump,REP,220
Maine,Stonington,Howie Hawkins,GRN,9
Maine,Stonington, Write-ins,WRI,6
Maine,Stonington,Jo Jorgensen,LIB,2
Maine,Stonington,Rocky De La Fuente,ALI,0
Maine,Sullivan,Joe Biden,DEM,0
Maine,Sullivan,Donald Trump,REP,0
Maine,Sullivan,Rocky De La Fuente,ALI,0
Maine,Sullivan,Howie Hawkins,GRN,0
Maine,Sullivan,Jo Jorgensen,LIB,0
Maine,Sullivan, Write-ins,WRI,0
Maine,Surry,Joe Biden,DEM,596
Maine,Surry,Donald Trump,REP,464
Maine,Surry,Jo Jorgensen,LIB,18
Maine,Surry,Howie Hawkins,GRN,13
Maine,Surry,Rocky De La Fuente,ALI,0
Maine,Surry, Write-ins,WRI,0
Maine,Swan's Island,Joe Biden,DEM,0
Maine,Swan's Island,Donald Trump,REP,0
Maine,Swan's Island,Rocky De La Fuente,ALI,0
Maine,Swan's Island,Howie Hawkins,GRN,0
Maine,Swan's Island,Jo Jorgensen,LIB,0
Maine,Swan's Island, Write-ins,WRI,0
Maine,Tremont,Joe Biden,DEM,590
Maine,Tremont,Donald Trump,REP,422
Maine,Tremont,Jo Jorgensen,LIB,19
Maine,Tremont,Howie Hawkins,GRN,11
Maine,Tremont,Rocky De La Fuente,ALI,1
Maine,Tremont, Write-ins,WRI,0
Maine,Trenton,Joe Biden,DEM,509
Maine,Trenton,Donald Trump,REP,451
Maine,Trenton,Jo Jorgensen,LIB,13
Maine,Trenton,Howie Hawkins,GRN,12
Maine,Trenton,Rocky De La Fuente,ALI,2
Maine,Trenton, Write-ins,WRI,0
Maine,Verona,Joe Biden,DEM,0
Maine,Verona,Donald Trump,REP,0
Maine,Verona,Rocky De La Fuente,ALI,0
Maine,Verona,Howie Hawkins,GRN,0
Maine,Verona,Jo Jorgensen,LIB,0
Maine,Verona, Write-ins,WRI,0
Maine,Waltham,Joe Biden,DEM,0
Maine,Waltham,Donald Trump,REP,0
Maine,Waltham,Rocky De La Fuente,ALI,0
Maine,Waltham,Howie Hawkins,GRN,0
Maine,Waltham,Jo Jorgensen,LIB,0
Maine,Waltham, Write-ins,WRI,0
Maine,Winter Harbor,Donald Trump,REP,179
Maine,Winter Harbor,Joe Biden,DEM,145
Maine,Winter Harbor,Jo Jorgensen,LIB,5
Maine,Winter Harbor,Rocky De La Fuente,ALI,0
Maine,Winter Harbor,Howie Hawkins,GRN,0
Maine,Winter Harbor, Write-ins,WRI,0
Maine,Albion,Donald Trump,REP,801
Maine,Albion,Joe Biden,DEM,385
Maine,Albion,Jo Jorgensen,LIB,21
Maine,Albion,Howie Hawkins,GRN,10
Maine,Albion,Rocky De La Fuente,ALI,2
Maine,Albion, Write-ins,WRI,0
Maine,Augusta,Joe Biden,DEM,5248
Maine,Augusta,Donald Trump,REP,4155
Maine,Augusta,Jo Jorgensen,LIB,218
Maine,Augusta,Howie Hawkins,GRN,104
Maine,Augusta,Rocky De La Fuente,ALI,11
Maine,Augusta, Write-ins,WRI,0
Maine,Belgrade,Donald Trump,REP,1166
Maine,Belgrade,Joe Biden,DEM,993
Maine,Belgrade,Jo Jorgensen,LIB,35
Maine,Belgrade,Howie Hawkins,GRN,19
Maine,Belgrade, Write-ins,WRI,12
Maine,Belgrade,Rocky De La Fuente,ALI,1
Maine,Benton,Donald Trump,REP,984
Maine,Benton,Joe Biden,DEM,607
Maine,Benton,Jo Jorgensen,LIB,24
Maine,Benton,Howie Hawkins,GRN,14
Maine,Benton,Rocky De La Fuente,ALI,2
Maine,Benton, Write-ins,WRI,0
Maine,Chelsea,Donald Trump,REP,917
Maine,Chelsea,Joe Biden,DEM,605
Maine,Chelsea,Jo Jorgensen,LIB,23
Maine,Chelsea,Howie Hawkins,GRN,15
Maine,Chelsea,Rocky De La Fuente,ALI,3
Maine,Chelsea, Write-ins,WRI,0
Maine,China,Donald Trump,REP,1395
Maine,China,Joe Biden,DEM,1107
Maine,China,Jo Jorgensen,LIB,54
Maine,China,Howie Hawkins,GRN,28
Maine,China,Rocky De La Fuente,ALI,3
Maine,China, Write-ins,WRI,3
Maine,Clinton,Donald Trump,REP,1096
Maine,Clinton,Joe Biden,DEM,641
Maine,Clinton,Jo Jorgensen,LIB,34
Maine,Clinton,Howie Hawkins,GRN,14
Maine,Clinton, Write-ins,WRI,11
Maine,Clinton,Rocky De La Fuente,ALI,1
Maine,Farmingdale,Joe Biden,DEM,903
Maine,Farmingdale,Donald Trump,REP,768
Maine,Farmingdale,Jo Jorgensen,LIB,42
Maine,Farmingdale,Howie Hawkins,GRN,19
Maine,Farmingdale,Rocky De La Fuente,ALI,6
Maine,Farmingdale, Write-ins,WRI,0
Maine,Fayette,Donald Trump,REP,421
Maine,Fayette,Joe Biden,DEM,388
Maine,Fayette,Jo Jorgensen,LIB,15
Maine,Fayette,Howie Hawkins,GRN,4
Maine,Fayette,Rocky De La Fuente,ALI,2
Maine,Fayette, Write-ins,WRI,0
Maine,Gardiner,Joe Biden,DEM,1694
Maine,Gardiner,Donald Trump,REP,1471
Maine,Gardiner,Jo Jorgensen,LIB,72
Maine,Gardiner,Howie Hawkins,GRN,37
Maine,Gardiner,Rocky De La Fuente,ALI,4
Maine,Gardiner, Write-ins,WRI,0
Maine,Hallowell,Joe Biden,DEM,1277
Maine,Hallowell,Donald Trump,REP,445
Maine,Hallowell,Jo Jorgensen,LIB,29
Maine,Hallowell,Howie Hawkins,GRN,26
Maine,Hallowell, Write-ins,WRI,17
Maine,Hallowell,Rocky De La Fuente,ALI,3
Maine,Litchfield,Donald Trump,REP,1260
Maine,Litchfield,Joe Biden,DEM,850
Maine,Litchfield,Jo Jorgensen,LIB,44
Maine,Litchfield,Howie Hawkins,GRN,19
Maine,Litchfield,Rocky De La Fuente,ALI,4
Maine,Litchfield, Write-ins,WRI,0
Maine,Manchester,Joe Biden,DEM,832
Maine,Manchester,Donald Trump,REP,810
Maine,Manchester,Jo Jorgensen,LIB,34
Maine,Manchester,Howie Hawkins,GRN,13
Maine,Manchester,Rocky De La Fuente,ALI,1
Maine,Manchester, Write-ins,WRI,0
Maine,Monmouth,Donald Trump,REP,1397
Maine,Monmouth,Joe Biden,DEM,1079
Maine,Monmouth,Jo Jorgensen,LIB,66
Maine,Monmouth,Howie Hawkins,GRN,33
Maine,Monmouth,Rocky De La Fuente,ALI,3
Maine,Monmouth, Write-ins,WRI,0
Maine,Mount Vernon,Joe Biden,DEM,0
Maine,Mount Vernon,Donald Trump,REP,0
Maine,Mount Vernon,Rocky De La Fuente,ALI,0
Maine,Mount Vernon,Howie Hawkins,GRN,0
Maine,Mount Vernon,Jo Jorgensen,LIB,0
Maine,Mount Vernon, Write-ins,WRI,0
Maine,Oakland,Donald Trump,REP,1853
Maine,Oakland,Joe Biden,DEM,1681
Maine,Oakland,Jo Jorgensen,LIB,54
Maine,Oakland,Howie Hawkins,GRN,37
Maine,Oakland,Rocky De La Fuente,ALI,3
Maine,Oakland, Write-ins,WRI,0
Maine,Pittston,Donald Trump,REP,1034
Maine,Pittston,Joe Biden,DEM,691
Maine,Pittston,Jo Jorgensen,LIB,26
Maine,Pittston,Howie Hawkins,GRN,24
Maine,Pittston,Rocky De La Fuente,ALI,3
Maine,Pittston, Write-ins,WRI,0
Maine,Randolph,Donald Trump,REP,533
Maine,Randolph,Joe Biden,DEM,467
Maine,Randolph,Jo Jorgensen,LIB,16
Maine,Randolph,Howie Hawkins,GRN,13
Maine,Randolph,Rocky De La Fuente,ALI,0
Maine,Randolph, Write-ins,WRI,0
Maine,Readfield,Joe Biden,DEM,943
Maine,Readfield,Donald Trump,REP,818
Maine,Readfield,Jo Jorgensen,LIB,40
Maine,Readfield,Howie Hawkins,GRN,16
Maine,Readfield,Rocky De La Fuente,ALI,3
Maine,Readfield, Write-ins,WRI,0
Maine,Rome,Joe Biden,DEM,0
Maine,Rome,Donald Trump,REP,0
Maine,Rome,Rocky De La Fuente,ALI,0
Maine,Rome,Howie Hawkins,GRN,0
Maine,Rome,Jo Jorgensen,LIB,0
Maine,Rome, Write-ins,WRI,0
Maine,Sidney,Donald Trump,REP,1688
Maine,Sidney,Joe Biden,DEM,1184
Maine,Sidney,Jo Jorgensen,LIB,60
Maine,Sidney,Howie Hawkins,GRN,17
Maine,Sidney, Write-ins,WRI,8
Maine,Sidney,Rocky De La Fuente,ALI,5
Maine,Unity,Donald Trump,REP,455
Maine,Unity,Joe Biden,DEM,444
Maine,Unity,Howie Hawkins,GRN,25
Maine,Unity,Jo Jorgensen,LIB,23
Maine,Unity,Rocky De La Fuente,ALI,3
Maine,Unity, Write-ins,WRI,0
Maine,Vassalboro,Donald Trump,REP,1394
Maine,Vassalboro,Joe Biden,DEM,1075
Maine,Vassalboro,Jo Jorgensen,LIB,55
Maine,Vassalboro,Howie Hawkins,GRN,22
Maine,Vassalboro,Rocky De La Fuente,ALI,7
Maine,Vassalboro, Write-ins,WRI,0
Maine,Vienna,Joe Biden,DEM,0
Maine,Vienna,Donald Trump,REP,0
Maine,Vienna,Rocky De La Fuente,ALI,0
Maine,Vienna,Howie Hawkins,GRN,0
Maine,Vienna,Jo Jorgensen,LIB,0
Maine,Vienna, Write-ins,WRI,0
Maine,Waterville,Joe Biden,DEM,4991
Maine,Waterville,Donald Trump,REP,2619
Maine,Waterville,Jo Jorgensen,LIB,159
Maine,Waterville,Howie Hawkins,GRN,84
Maine,Waterville, Write-ins,WRI,38
Maine,Waterville,Rocky De La Fuente,ALI,10
Maine,Wayne,Joe Biden,DEM,506
Maine,Wayne,Donald Trump,REP,343
Maine,Wayne,Jo Jorgensen,LIB,13
Maine,Wayne,Howie Hawkins,GRN,7
Maine,Wayne,Rocky De La Fuente,ALI,0
Maine,Wayne, Write-ins,WRI,0
Maine,West Gardiner,Donald Trump,REP,1317
Maine,West Gardiner,Joe Biden,DEM,1000
Maine,West Gardiner,Jo Jorgensen,LIB,42
Maine,West Gardiner,Howie Hawkins,GRN,17
Maine,West Gardiner,Rocky De La Fuente,ALI,4
Maine,West Gardiner, Write-ins,WRI,0
Maine,Windsor,Donald Trump,REP,899
Maine,Windsor,Joe Biden,DEM,477
Maine,Windsor,Jo Jorgensen,LIB,41
Maine,Windsor,Howie Hawkins,GRN,14
Maine,Windsor, Write-ins,WRI,5
Maine,Windsor,Rocky De La Fuente,ALI,2
Maine,Winslow,Donald Trump,REP,2360
Maine,Winslow,Joe Biden,DEM,2184
