Datum,PM10,kraj
2014-05-19,17.9,Koper
2014-05-20,18.2,Koper
2014-05-21,14.2,Koper
2014-05-22,20.4,Koper
2014-05-23,30.8,Koper
2014-05-24,22.4,Koper
2014-05-25,18.3,Koper
2014-05-26,18.9,Koper
2014-05-27,12.5,Koper
2014-05-28,13.2,Koper
2014-05-29,8.2,Koper
2014-05-30,8.9,Koper
2014-05-31,9,Koper
2014-06-01,12.5,Koper
2014-06-02,12.8,Koper
2014-06-03,13.5,Koper
2014-06-04,14.3,Koper
2014-06-05,19.8,Koper
2014-06-06,23,Koper
2014-06-07,24.2,Koper
2014-06-08,27,Koper
2014-06-09,18.7,Koper
2014-06-10,23.6,Koper
2014-06-11,24.5,Koper
2014-06-12,25.8,Koper
2014-06-13,21,Koper
2014-06-14,18.1,Koper
2014-06-15,8.6,Koper
2014-06-16,11.6,Koper
2014-06-17,16.7,Koper
2014-06-18,22.9,Koper
2014-06-19,25.8,Koper
2014-06-20,22.5,Koper
2014-06-21,6,Koper
2014-06-22,17.1,Koper
2014-06-23,18.8,Koper
2014-06-24,16.9,Koper
2014-06-25,12.3,Koper
2014-06-26,12.7,Koper
2014-06-27,8.4,Koper
2014-06-28,16.5,Koper
2014-06-29,15.7,Koper
2014-06-30,6.9,Koper
2014-07-01,10,Koper
2014-07-02,13.1,Koper
2014-07-03,9.6,Koper
2014-07-04,15.3,Koper
2014-07-05,16.6,Koper
2014-07-06,22.1,Koper
2014-07-07,22.7,Koper
2014-07-08,13.1,Koper
2014-07-09,7.6,Koper
2014-07-10,5.2,Koper
2014-07-11,10,Koper
2014-07-12,13.6,Koper
2014-07-13,8.4,Koper
2014-07-14,13.4,Koper
2014-07-15,13.5,Koper
2014-07-16,15.5,Koper
2014-07-17,16.3,Koper
2014-07-18,18.7,Koper
2014-07-19,23.3,Koper
2014-07-20,22.7,Koper
2014-07-21,14.4,Koper
2014-07-22,11.7,Koper
2014-07-23,11.1,Koper
2014-07-24,17.4,Koper
2014-07-25,NA,Koper
2014-07-26,13.5,Koper
2014-07-27,12.2,Koper
2014-07-28,15.7,Koper
2014-07-29,14.2,Koper
2014-07-30,9.3,Koper
2014-07-31,13.6,Koper
2014-08-01,9.5,Koper
2014-08-02,16.6,Koper
2014-08-03,15.6,Koper
2014-08-04,16.6,Koper
2014-08-05,8.5,Koper
2014-08-06,10.4,Koper
2014-08-07,20,Koper
2014-08-08,18.6,Koper
2014-08-09,24.2,Koper
2014-08-10,25.1,Koper
2014-08-11,22.3,Koper
2014-08-12,28.6,Koper
2014-08-13,30.4,Koper
2014-08-14,10.4,Koper
2014-08-15,11.1,Koper
2014-08-16,8.9,Koper
2014-08-17,7.9,Koper
2014-08-18,12.3,Koper
2014-08-19,20.6,Koper
2014-08-20,15.7,Koper
2014-08-21,7.1,Koper
2014-08-22,14,Koper
2014-08-23,13.9,Koper
2014-08-24,3.5,Koper
2014-08-25,11.4,Koper
2014-08-26,17.4,Koper
2014-08-27,13.4,Koper
2014-08-28,7.3,Koper
2014-08-29,13.2,Koper
2014-08-30,16.6,Koper
2014-08-31,21.4,Koper
2014-09-01,2.7,Koper
2014-09-02,8.5,Koper
2014-09-03,19.1,Koper
2014-09-04,31,Koper
2014-09-05,27.7,Koper
2014-09-06,18.1,Koper
2014-09-07,23.8,Koper
2014-09-08,31.3,Koper
2014-09-09,34.1,Koper
2014-09-10,8.8,Koper
2014-09-11,8.4,Koper
2014-09-12,11.6,Koper
2014-09-13,7.4,Koper
2014-09-14,10,Koper
2014-09-15,14.1,Koper
2014-09-16,10,Koper
2014-09-17,16,Koper
2014-09-18,26.3,Koper
2014-09-19,30.3,Koper
2014-09-20,15.8,Koper
2014-09-21,18.5,Koper
2014-09-22,6.1,Koper
2014-09-23,23.9,Koper
2014-09-24,19.4,Koper
2014-09-25,10.8,Koper
2014-09-26,11.8,Koper
2014-09-27,23.9,Koper
2014-09-28,17.6,Koper
2014-09-29,20.4,Koper
2014-09-30,16.1,Koper
2014-10-01,28.4,Koper
2014-10-02,15.2,Koper
2014-10-03,18.5,Koper
2014-10-04,21.1,Koper
2014-10-05,32.1,Koper
2014-10-06,38,Koper
2014-10-07,37.6,Koper
2014-10-08,20.9,Koper
2014-10-09,18.9,Koper
2014-10-10,21.8,Koper
2014-10-11,26.4,Koper
2014-10-12,24.4,Koper
2014-10-13,29.5,Koper
2014-10-14,25.2,Koper
2014-10-15,17.5,Koper
2014-10-16,24.2,Koper
2014-10-17,21.8,Koper
2014-10-18,21.1,Koper
2014-10-19,20.7,Koper
2014-10-20,23.1,Koper
2014-10-21,23.2,Koper
2014-10-22,7.9,Koper
2014-10-23,11.5,Koper
2014-10-24,14.9,Koper
2014-10-25,15.8,Koper
2014-10-26,17.2,Koper
2014-10-27,19.8,Koper
2014-10-28,25,Koper
2014-10-29,28.1,Koper
2014-10-30,24.3,Koper
2014-10-31,23.2,Koper
2014-11-01,20.1,Koper
2014-11-02,24.4,Koper
2014-11-03,29.5,Koper
2014-11-04,21.9,Koper
2014-11-05,29.9,Koper
2014-11-06,33.1,Koper
2014-11-07,20.9,Koper
2014-11-08,21.8,Koper
2014-11-09,38,Koper
2014-11-10,33.6,Koper
2014-11-11,38.4,Koper
2014-11-12,26.2,Koper
2014-11-13,19.3,Koper
2014-11-14,28,Koper
2014-11-15,19.1,Koper
2014-11-16,11.7,Koper
2014-11-17,11,Koper
2014-11-18,13.2,Koper
2014-11-19,18.7,Koper
2014-11-20,27.4,Koper
2014-11-21,24.8,Koper
2014-11-22,26.4,Koper
2014-11-23,30.7,Koper
2014-11-24,31.9,Koper
2014-11-25,31.5,Koper
2014-11-26,35.3,Koper
2014-11-27,43.4,Koper
2014-11-28,27.3,Koper
2014-11-29,36.5,Koper
2014-11-30,37.2,Koper
2014-12-01,24.1,Koper
2014-12-02,17.3,Koper
2014-12-03,12.9,Koper
2014-12-04,17.5,Koper
2014-12-05,18.5,Koper
2014-12-06,7.3,Koper
2014-12-07,6,Koper
2014-12-08,9.5,Koper
2014-12-09,16.8,Koper
2014-12-10,16.8,Koper
2014-12-11,23.4,Koper
2014-12-12,33,Koper
2014-12-13,37.2,Koper
2014-12-14,42.5,Koper
2014-12-15,35.3,Koper
2014-12-16,16.5,Koper
2014-12-17,16.1,Koper
2014-12-18,20,Koper
2014-12-19,23.6,Koper
2014-12-20,30.7,Koper
2014-12-21,27.7,Koper
2014-12-22,23.2,Koper
2014-12-23,32.1,Koper
2014-12-24,48,Koper
2014-12-25,44.4,Koper
2014-12-26,1.3,Koper
2014-12-27,7,Koper
2014-12-28,7,Koper
2014-12-29,14.3,Koper
2014-12-30,14.4,Koper
2014-12-31,12.1,Koper
