Datum,PM10,kraj
2014-06-29,14,Ljubljana
2014-06-30,4,Ljubljana
2014-07-01,12.4,Ljubljana
2014-07-02,10.7,Ljubljana
2014-07-03,11.3,Ljubljana
2014-07-04,16.9,Ljubljana
2014-07-05,19.8,Ljubljana
2014-07-06,19.1,Ljubljana
2014-07-07,19.9,Ljubljana
2014-07-08,9,Ljubljana
2014-07-09,4.8,Ljubljana
2014-07-10,4.6,Ljubljana
2014-07-11,12.4,Ljubljana
2014-07-12,13.1,Ljubljana
2014-07-13,9.4,Ljubljana
2014-07-14,13.3,Ljubljana
2014-07-15,13.2,Ljubljana
2014-07-16,17.3,Ljubljana
2014-07-17,21.8,Ljubljana
2014-07-18,24.5,Ljubljana
2014-07-19,27.6,Ljubljana
2014-07-20,22,Ljubljana
2014-07-21,17,Ljubljana
2014-07-22,13,Ljubljana
2014-07-23,13.1,Ljubljana
2014-07-24,15.8,Ljubljana
2014-07-25,19.7,Ljubljana
2014-07-26,15.4,Ljubljana
2014-07-27,14.7,Ljubljana
2014-07-28,17.5,Ljubljana
2014-07-29,12.6,Ljubljana
2014-07-30,10.9,Ljubljana
2014-07-31,17.4,Ljubljana
2014-08-01,13.4,Ljubljana
2014-08-02,18.6,Ljubljana
2014-08-03,14.3,Ljubljana
2014-08-04,17.6,Ljubljana
2014-08-05,7.4,Ljubljana
2014-08-06,11.2,Ljubljana
2014-08-07,18.8,Ljubljana
2014-08-08,18,Ljubljana
2014-08-09,18.6,Ljubljana
2014-08-10,16.3,Ljubljana
2014-08-11,20.1,Ljubljana
2014-08-12,10,Ljubljana
2014-08-13,16.1,Ljubljana
2014-08-14,5.4,Ljubljana
2014-08-15,8.7,Ljubljana
2014-08-16,9.3,Ljubljana
2014-08-17,9.7,Ljubljana
2014-08-18,12.5,Ljubljana
2014-08-19,17.1,Ljubljana
2014-08-20,17.2,Ljubljana
2014-08-21,7.1,Ljubljana
2014-08-22,14.1,Ljubljana
2014-08-23,12.7,Ljubljana
2014-08-24,7.8,Ljubljana
2014-08-25,10.2,Ljubljana
2014-08-26,16.1,Ljubljana
2014-08-27,10.4,Ljubljana
2014-08-28,12.4,Ljubljana
2014-08-29,20.6,Ljubljana
2014-08-30,23,Ljubljana
2014-08-31,26.5,Ljubljana
2014-09-01,5.4,Ljubljana
2014-09-02,10.4,Ljubljana
2014-09-03,16.2,Ljubljana
2014-09-04,33,Ljubljana
2014-09-05,31.9,Ljubljana
2014-09-06,18.2,Ljubljana
2014-09-07,26.2,Ljubljana
2014-09-08,30,Ljubljana
2014-09-09,23,Ljubljana
2014-09-10,13.6,Ljubljana
2014-09-11,10.4,Ljubljana
2014-09-12,12.2,Ljubljana
2014-09-13,7.9,Ljubljana
2014-09-14,13.5,Ljubljana
2014-09-15,16.1,Ljubljana
2014-09-16,14,Ljubljana
2014-09-17,18.8,Ljubljana
2014-09-18,31.8,Ljubljana
2014-09-19,26.7,Ljubljana
2014-09-20,16.9,Ljubljana
2014-09-21,15.1,Ljubljana
2014-09-22,10.9,Ljubljana
2014-09-23,18,Ljubljana
2014-09-24,20.5,Ljubljana
2014-09-25,21.4,Ljubljana
2014-09-26,18.8,Ljubljana
2014-09-27,18,Ljubljana
2014-09-28,NA,Ljubljana
2014-09-29,NA,Ljubljana
2014-09-30,NA,Ljubljana
2014-10-01,NA,Ljubljana
2014-10-02,NA,Ljubljana
2014-10-03,NA,Ljubljana
2014-10-04,NA,Ljubljana
2014-10-05,NA,Ljubljana
2014-10-06,NA,Ljubljana
2014-10-07,42.1,Ljubljana
2014-10-08,22.1,Ljubljana
2014-10-09,16.6,Ljubljana
2014-10-10,19.4,Ljubljana
2014-10-11,21.8,Ljubljana
2014-10-12,23.2,Ljubljana
2014-10-13,25.9,Ljubljana
2014-10-14,17.5,Ljubljana
2014-10-15,20.2,Ljubljana
2014-10-16,21.2,Ljubljana
2014-10-17,16.8,Ljubljana
2014-10-18,12.8,Ljubljana
2014-10-19,16,Ljubljana
2014-10-20,21.7,Ljubljana
2014-10-21,24.9,Ljubljana
2014-10-22,8.5,Ljubljana
2014-10-23,14.3,Ljubljana
2014-10-24,14.9,Ljubljana
2014-10-25,20.2,Ljubljana
2014-10-26,21.6,Ljubljana
2014-10-27,27.1,Ljubljana
2014-10-28,35.2,Ljubljana
2014-10-29,50.5,Ljubljana
2014-10-30,61.1,Ljubljana
2014-10-31,52.4,Ljubljana
2014-11-01,39.1,Ljubljana
2014-11-02,45.6,Ljubljana
2014-11-03,32.8,Ljubljana
2014-11-04,20.5,Ljubljana
2014-11-05,28.4,Ljubljana
2014-11-06,14.8,Ljubljana
2014-11-07,11.5,Ljubljana
2014-11-08,12.8,Ljubljana
2014-11-09,15.3,Ljubljana
2014-11-10,29.7,Ljubljana
2014-11-11,33.7,Ljubljana
2014-11-12,23.2,Ljubljana
2014-11-13,22.2,Ljubljana
2014-11-14,34.9,Ljubljana
2014-11-15,26.6,Ljubljana
2014-11-16,19,Ljubljana
2014-11-17,18.5,Ljubljana
2014-11-18,12.4,Ljubljana
2014-11-19,23.5,Ljubljana
2014-11-20,23.3,Ljubljana
2014-11-21,23.6,Ljubljana
2014-11-22,35.6,Ljubljana
2014-11-23,36.1,Ljubljana
2014-11-24,19.6,Ljubljana
2014-11-25,44.9,Ljubljana
2014-11-26,40.1,Ljubljana
2014-11-27,39.7,Ljubljana
2014-11-28,45.6,Ljubljana
2014-11-29,35,Ljubljana
2014-11-30,21.3,Ljubljana
2014-12-01,12.3,Ljubljana
2014-12-02,14.4,Ljubljana
2014-12-03,14.6,Ljubljana
2014-12-04,20,Ljubljana
2014-12-05,25,Ljubljana
2014-12-06,16.2,Ljubljana
2014-12-07,10.8,Ljubljana
2014-12-08,11.9,Ljubljana
2014-12-09,18.8,Ljubljana
2014-12-10,43.7,Ljubljana
2014-12-11,70.1,Ljubljana
2014-12-12,90.1,Ljubljana
2014-12-13,27.3,Ljubljana
2014-12-14,11.7,Ljubljana
2014-12-15,25.7,Ljubljana
2014-12-16,47.6,Ljubljana
2014-12-17,24.1,Ljubljana
2014-12-18,27.1,Ljubljana
2014-12-19,27.7,Ljubljana
2014-12-20,25,Ljubljana
2014-12-21,33,Ljubljana
2014-12-22,27.3,Ljubljana
2014-12-23,16.4,Ljubljana
2014-12-24,15.4,Ljubljana
2014-12-25,26.5,Ljubljana
2014-12-26,14.2,Ljubljana
2014-12-27,32.3,Ljubljana
2014-12-28,10.2,Ljubljana
2014-12-29,34.1,Ljubljana
2014-12-30,51.4,Ljubljana
2014-12-31,32.8,Ljubljana
2014-01-01,50.7,Celje
2014-01-02,24.2,Celje
2014-01-03,16.8,Celje
2014-01-04,24.2,Celje
2014-01-05,8.2,Celje
2014-01-06,33.9,Celje
2014-01-07,52,Celje
2014-01-08,43.5,Celje
2014-01-09,45.8,Celje
2014-01-10,39,Celje
2014-01-11,26.6,Celje
2014-01-12,30.8,Celje
2014-01-13,27.2,Celje
2014-01-14,45.5,Celje
2014-01-15,44.5,Celje
2014-01-16,35.4,Celje
2014-01-17,28.9,Celje
2014-01-18,30.9,Celje
